url,price,type_of_property,subtype,type_of_sale,land_surface,living_surface,postal_code,locality,bedrooms,description,equiped_kitchen,terrace,terrace_surface,furnished,open_fire,garden,garden_surface,number_of_facades,swimming_pool,state_of_building
https://www.immoweb.be/en/classified/house/for-sale/wavre/1300/20818692,,,,,,,,,,4 bedrooms3 bathrooms225m²square meterslivable space902m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/villa/for-sale/ellezelles/7890/20821304,,,,,,,,,,4 bedrooms2 bathrooms310m²square meterslivable space10860m²square metersof landAvailable date : 08/31/2025,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/wemmel/1780/20805044,,,,,,,,,,3 bedrooms2 bathrooms289m²square meterslivable space596m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/ivoz-ramet/4400/20818395,,,,,,,,,,3 bedrooms120m²square meterslivable space180m²square metersof landLink to the virtual visit,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/bertem/3060/20821116,,,,,,,,,,3 bedrooms2 bathrooms195m²square meterslivable space1725m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/20819310,,,,,,,,,,5 bedrooms1 bathroom220m²square meterslivable space285m²square metersof landLink to the virtual visit,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/habay-la-neuve/6720/20816886,,,,,,,,,,3 bedrooms1 bathroom120m²square meterslivable space170m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/haaltert/9450/20820603,,,,,,,,,,2 bedrooms1 bathroom190m²square meterslivable space380m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/beveren-waas/9120/20522185,,,,,,,,,,4 bedrooms3 bathrooms945m²square meterslivable space2785m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/mansion/for-sale/antwerpen/2060/20213602,,,,,,,,,,689m²square meterslivable space,,,,,,,,,,
https://www.immoweb.be/en/classified/penthouse/for-sale/middelkerke/8430/20822061,,,,,,,,,,"1 bedroom1 bathroom43m²square meterslivable spaceFloor :
                                        10",,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/boom/2850/20822059,,,,,,,,,,"3 bedrooms1 bathroom120m²square meterslivable spaceFloor :
                                        2",,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/boom/2850/20822058,,,,,,,,,,"3 bedrooms1 bathroom110m²square meterslivable spaceFloor :
                                        2",,,,,,,,,,
https://www.immoweb.be/en/classified/duplex/for-sale/blankenberge/8370/20822055,,,,,,,,,,"3 bedrooms2 bathrooms134m²square meterslivable spaceFloor :
                                        9",,,,,,,,,,
https://www.immoweb.be/en/classified/penthouse/for-sale/blankenberge/8370/20822054,,,,,,,,,,"3 bedrooms2 bathrooms134m²square meterslivable spaceFloor :
                                        9",,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2180/20644926,,,,,,,,,,"2 bedrooms1 bathroom100m²square meterslivable spaceFloor :
                                        1",,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/aalter/9880/20822053,,,,,,,,,,"2 bedrooms1 bathroom100m²square meterslivable spaceFloor :
                                        0",,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-kiel/2020/20822052,,,,,,,,,,"3 bedrooms1 bathroom105m²square meterslivable spaceFloor :
                                        2",,,,,,,,,,
